rayland-c: Wayland proxy listening at /tmp/rl-tr-wl.sock; point the app at it with WAYLAND_DISPLAY
rayland-c: listening at /tmp/rl-tr.sock, relaying to S at 127.0.0.1:9473
rayland-c: point Mesa at it with:
  VN_DEBUG=vtest VTEST_SOCKET_NAME=/tmp/rl-tr.sock VK_ICD_FILENAMES=<...>/virtio_icd.x86_64.json <app>
[wp-proxy] proxy listening at /tmp/rl-tr-wl.sock
[wp-proxy] application connected: client InnerClientId { id: 0, serial: 1 }
rayland-c: Mesa connected
rayland-c: watching command ring res_id=1 buffer_size=131072
RLTRACE t_ns=859200686281249 stage=T7 side=C res=2 off=12569 len=1
RLTRACE t_ns=859200686617323 stage=T7 side=C res=2 off=12576 len=35
RLTRACE t_ns=859200686642488 stage=T7 side=C res=2 off=12832 len=1
RLTRACE t_ns=859200686824392 stage=T7 side=C res=2 off=12837 len=1
RLTRACE t_ns=859200687173922 stage=T7 side=C res=2 off=12844 len=31
RLTRACE t_ns=859200687198383 stage=T7 side=C res=2 off=13100 len=1
RLTRACE t_ns=859200687220701 stage=T7 side=C res=2 off=13105 len=1
RLTRACE t_ns=859200687245450 stage=T7 side=C res=2 off=13112 len=37
RLTRACE t_ns=859200687267770 stage=T7 side=C res=2 off=13368 len=1
RLTRACE t_ns=859200687649650 stage=T7 side=C res=2 off=13373 len=1
RLTRACE t_ns=859200687676965 stage=T7 side=C res=2 off=13380 len=26
RLTRACE t_ns=859200687699353 stage=T7 side=C res=2 off=13636 len=1
RLTRACE t_ns=859200687720455 stage=T7 side=C res=2 off=13641 len=1
RLTRACE t_ns=859200687742457 stage=T7 side=C res=2 off=13648 len=19
RLTRACE t_ns=859200687763572 stage=T7 side=C res=2 off=13904 len=1
RLTRACE t_ns=859200687784317 stage=T7 side=C res=2 off=13909 len=1
RLTRACE t_ns=859200687808315 stage=T7 side=C res=2 off=13916 len=29
RLTRACE t_ns=859200687997708 stage=T7 side=C res=2 off=14172 len=1
RLTRACE t_ns=859200688036254 stage=T7 side=C res=2 off=14177 len=1
